0	1	0.07	0.06
1	4	0.04	0.04
5	9	0.01	0.01
10	14	0.01	0.01
15	19	0.01	0.01
20	24	0.01	0.02
25	29	0.03	0.05
30	34	0.06	0.07
35	39	0.11	0.08
40	44	0.12	0.08
45	49	0.11	0.09
50	54	0.11	0.09
55	59	0.11	0.1
60	64	0.14	0.11
65	69	0.19	0.15
70	74	0.29	0.24
75	79	0.41	0.35
80	84	0.56	0.5
85	89	0.73	0.68
90	94	0.82	0.79
95	99	0.87	0.85
100	110	1	1
