0	4	0.09307946	0.08758696
5	9	0.07923837	0.07784694
10	14	0.06532406	0.06459172
15	19	0.05133651	0.05126327
20	24	0.04452581	0.04445258
25	29	0.03888685	0.03822776
30	34	0.02665690	0.02819480
35	39	0.02175027	0.02402051
40	44	0.01786891	0.02057854
45	49	0.01420725	0.01662395
50	54	0.01193702	0.01296228
55	59	0.01054559	0.01105822
60	64	0.00798242	0.00856829
65	69	0.00615159	0.00666423
70	74	0.00417430	0.00461369
75	79	0.00241670	0.00300256
80	84	0.00102527	0.00139143
85	89	0.00029293	0.00043940
90	94	0.00007323	0.00007323
